8000
E1;414;1430
E2;433;1092
E3;394;1125
E4;425;1560
E5;392;1500
E6;409;1608
E7;438;1423
E8;440;1081
E9;425;1088
E10;399;1342
8000
E1;425;1062
E2;411;1457
E3;435;1378
E4;389;1608
E5;410;1195
E6;413;1327
E7;386;1375
E8;410;1064
E9;393;1444
E10;429;1124
8000
E1;399;1074
E2;426;1635
E3;388;1629
E4;398;1483
E5;410;1359
E6;430;1639
E7;385;1551
E8;418;1683
E9;386;1620
E10;431;1208
8000
E1;399;1688
E2;394;1119
E3;386;1621
E4;384;1350
E5;413;1113
E6;421;1192
E7;435;1327
E8;398;1219
E9;393;1620
E10;395;1413
8000
E1;402;1433
E2;394;1207
E3;410;1494
E4;440;1277
E5;406;1511
E6;411;1027
E7;428;1546
E8;423;1238
E9;403;1115
E10;392;1054
8000
E1;434;1482
E2;423;1002
E3;382;1157
E4;381;1499
E5;389;1630
E6;393;1167
E7;426;1130
E8;391;1133
E9;435;1496
E10;416;1612
8000
E1;437;1161
E2;414;1575
E3;408;1467
E4;393;1389
E5;418;1508
E6;423;1694
E7;419;1330
E8;387;1282
E9;401;1448
E10;420;1583
8000
E1;390;1295
E2;406;1627
E3;393;1394
E4;403;1120
E5;392;1413
E6;401;1262
E7;417;1399
E8;404;1009
E9;412;1366
E10;418;1468
8000
E1;387;1326
E2;387;1118
E3;409;1278
E4;388;1188
E5;417;1190
E6;380;1062
E7;396;1671
E8;422;1500
E9;398;1675
E10;408;1617
8000
E1;383;1660
E2;432;1576
E3;400;1029
E4;407;1432
E5;391;1078
E6;425;1079
E7;415;1685
E8;417;1072
E9;422;1051
E10;419;1404
8000
E1;382;1393
E2;405;1335
E3;383;1683
E4;380;1318
E5;389;1376
E6;440;1251
E7;415;1615
E8;384;1494
E9;412;1296
E10;397;1352
E11;401;1445
8000
E1;439;1607
E2;383;1486
E3;437;1431
E4;396;1480
E5;408;1295
E6;411;1461
E7;420;1612
E8;411;1058
E9;395;1459
E10;412;1242
E11;403;1361
8000
E1;432;1437
E2;430;1299
E3;389;1606
E4;394;1572
E5;390;1132
E6;400;1522
E7;429;1577
E8;423;1120
E9;419;1348
E10;381;1320
E11;419;1636
8000
E1;425;1172
E2;409;1650
E3;406;1420
E4;382;1425
E5;408;1309
E6;416;1486
E7;431;1268
E8;397;1170
E9;411;1066
E10;383;1000
E11;396;1587
8000
E1;390;1484
E2;437;1262
E3;405;1240
E4;402;1311
E5;392;1398
E6;380;1665
E7;438;1052
E8;439;1183
E9;410;1658
E10;439;1453
E11;421;1522
8000
E1;383;1691
E2;435;1235
E3;417;1213
E4;383;1004
E5;386;1192
E6;428;1223
E7;382;1577
E8;380;1329
E9;433;1616
E10;394;1610
E11;413;1429
8000
E1;399;1663
E2;429;1060
E3;433;1152
E4;408;1089
E5;423;1081
E6;395;1243
E7;394;1435
E8;416;1516
E9;407;1352
E10;408;1354
E11;420;1598
8000
E1;391;1210
E2;434;1517
E3;419;1353
E4;403;1046
E5;402;1281
E6;421;1096
E7;403;1501
E8;412;1524
E9;398;1144
E10;435;1548
E11;387;1604
8000
E1;406;1508
E2;392;1428
E3;383;1153
E4;415;1484
E5;384;1291
E6;419;1013
E7;385;1094
E8;387;1619
E9;405;1500
E10;418;1118
E11;387;1604
8000
E1;434;1012
E2;437;1630
E3;430;1277
E4;421;1473
E5;404;1192
E6;396;1131
E7;434;1677
E8;433;1380
E9;431;1231
E10;389;1662
E11;384;1622
8000
E1;432;1362
E2;388;1416
E3;426;1697
E4;426;1657
E5;398;1284
E6;429;1639
E7;426;1122
E8;420;1656
E9;384;1120
E10;409;1565
E11;415;1652
E12;431;1132
8000
E1;436;1380
E2;412;1493
E3;393;1032
E4;406;1682
E5;427;1256
E6;410;1112
E7;437;1505
E8;399;1377
E9;402;1694
E10;432;1293
E11;387;1224
E12;426;1325
8000
E1;409;1561
E2;420;1118
E3;425;1503
E4;423;1234
E5;418;1494
E6;423;1691
E7;404;1384
E8;381;1501
E9;398;1567
E10;404;1064
E11;381;1314
E12;389;1074
8000
E1;404;1197
E2;423;1326
E3;408;1598
E4;395;1471
E5;380;1690
E6;385;1520
E7;422;1264
E8;420;1033
E9;384;1220
E10;411;1437
E11;384;1467
E12;398;1344
8000
E1;386;1595
E2;395;1216
E3;419;1413
E4;432;1469
E5;397;1089
E6;386;1060
E7;392;1601
E8;414;1486
E9;430;1113
E10;426;1042
E11;416;1536
E12;436;1690
8000
E1;421;1542
E2;427;1014
E3;425;1173
E4;399;1077
E5;394;1306
E6;434;1590
E7;413;1549
E8;435;1298
E9;401;1343
E10;423;1157
E11;430;1332
E12;421;1299
8000
E1;388;1506
E2;423;1608
E3;425;1306
E4;437;1284
E5;429;1623
E6;418;1399
E7;420;1626
E8;398;1560
E9;438;1441
E10;425;1064
E11;401;1238
E12;408;1015
8000
E1;437;1188
E2;417;1493
E3;417;1053
E4;406;1437
E5;404;1404
E6;387;1134
E7;400;1290
E8;405;1021
E9;380;1012
E10;398;1520
E11;382;1090
E12;384;1399
8000
E1;431;1526
E2;433;1210
E3;413;1232
E4;393;1158
E5;401;1505
E6;431;1281
E7;381;1119
E8;387;1214
E9;434;1306
E10;437;1449
E11;430;1611
E12;439;1635
8000
E1;397;1113
E2;418;1138
E3;424;1334
E4;410;1275
E5;401;1097
E6;400;1042
E7;420;1078
E8;395;1288
E9;426;1178
E10;412;1607
E11;430;1045
E12;427;1250
8000
E1;404;1357
E2;387;1660
E3;391;1665
E4;425;1523
E5;407;1532
E6;409;1471
E7;427;1590
E8;432;1571
E9;388;1165
E10;432;1443
E11;437;1209
E12;384;1324
E13;422;1291
8000
E1;428;1699
E2;386;1202
E3;414;1328
E4;413;1095
E5;404;1103
E6;426;1381
E7;402;1138
E8;414;1353
E9;412;1496
E10;427;1120
E11;394;1013
E12;413;1246
E13;408;1146
8000
E1;416;1313
E2;398;1348
E3;415;1050
E4;409;1336
E5;420;1382
E6;407;1571
E7;414;1273
E8;402;1639
E9;433;1674
E10;391;1172
E11;419;1515
E12;391;1440
E13;418;1337
8000
E1;401;1374
E2;429;1319
E3;432;1624
E4;387;1624
E5;381;1136
E6;392;1131
E7;394;1505
E8;428;1345
E9;389;1234
E10;409;1133
E11;409;1291
E12;436;1633
E13;383;1575
8000
E1;384;1246
E2;390;1284
E3;410;1486
E4;424;1285
E5;434;1120
E6;389;1462
E7;396;1659
E8;427;1410
E9;382;1055
E10;422;1520
E11;396;1543
E12;433;1258
E13;424;1252
8000
E1;399;1370
E2;400;1561
E3;413;1387
E4;406;1050
E5;390;1536
E6;410;1606
E7;388;1015
